data,região,instituição,1as_consultas,consultas_subsequentes,total_consultas,ano,mês,coordenadas,código_região
2014-07-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",0,0,0,2014,7,"-9.2264834,38.7422257",3
2014-07-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",327,0,327,2014,7,"-7.7515252,41.3031784",1
2014-08-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",810,368,1178,2014,8,"-7.9032848,38.5684861",4
2014-08-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",571,56,627,2014,8,"-7.9281554,37.0238973",5
2014-08-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",111,74,185,2014,8,"-7.4981271,39.8212263",2
2014-09-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",46,26,72,2014,9,"-7.8721227,38.014123",4
2014-09-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",279,0,279,2014,9,"-8.6172617,41.1472498",1
2014-10-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",306,0,306,2014,10,"-8.6172617,41.1472498",1
2014-10-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",446,0,446,2014,10,"-7.7515252,41.3031784",1
2014-11-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",699,980,1679,2014,11,"-7.4263845,39.3003425",4
2014-11-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",258,140,398,2014,11,"-7.4922407,40.2804158",2
2014-11-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",173,39,212,2014,11,"-7.2734793,40.5309916",2
2014-11-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",494,0,494,2014,11,"-7.7515252,41.3031784",1
2014-12-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",754,1049,1803,2014,12,"-7.4263845,39.3003425",4
2014-12-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",971,100,1071,2014,12,"-7.9281554,37.0238973",5
2014-12-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",2070,1529,3599,2014,12,"-8.4098211,40.2191523",2
2014-12-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",136,120,256,2014,12,"-7.4981271,39.8212263",2
2014-12-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",0,0,0,2014,12,"-9.2264834,38.7422257",3
2014-12-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",345,0,345,2014,12,"-8.6172617,41.1472498",1
2015-01-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",21,82,103,2015,1,"-8.6543716,40.6362453",2
2015-01-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",29,31,60,2015,1,"-8.0827433,40.516364",2
2015-02-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",169,138,307,2015,2,"-7.4263845,39.3003425",4
2015-02-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",79,125,204,2015,2,"-8.6543716,40.6362453",2
2015-02-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",333,295,628,2015,2,"-8.4098211,40.2191523",2
2015-02-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",28,17,45,2015,2,"-7.4981271,39.8212263",2
2015-02-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2015,2,"-8.8818638,38.5283754",3
2015-02-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",71,0,71,2015,2,"-8.6172617,41.1472498",1
2015-03-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",335,157,492,2015,3,"-7.9032848,38.5684861",4
2015-03-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",75,19,94,2015,3,"-7.4922407,40.2804158",2
2015-03-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",5,0,5,2015,3,"-7.2734793,40.5309916",2
2015-04-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",438,214,652,2015,4,"-7.9032848,38.5684861",4
2015-04-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",133,0,133,2015,4,"-8.6172617,41.1472498",1
2015-04-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",485,0,485,2015,4,"-8.6745115,41.1794456",1
2015-05-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",547,268,815,2015,5,"-7.9032848,38.5684861",4
2015-05-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",223,273,496,2015,5,"-8.6543716,40.6362453",2
2015-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2015,5,"-8.8818638,38.5283754",3
2015-05-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",148,0,148,2015,5,"-7.7515252,41.3031784",1
2015-05-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",670,0,670,2015,5,"-8.6745115,41.1794456",1
2015-06-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",485,454,939,2015,6,"-7.4263845,39.3003425",4
2015-06-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",628,63,691,2015,6,"-7.9281554,37.0238973",5
2015-06-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",148,52,200,2015,6,"-7.4922407,40.2804158",2
2015-06-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",25,0,25,2015,6,"-7.2734793,40.5309916",2
2015-07-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",775,74,849,2015,7,"-7.9281554,37.0238973",5
2015-07-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2015,7,"-8.8818638,38.5283754",3
2015-08-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",1478,1071,2549,2015,8,"-8.4098211,40.2191523",2
2015-08-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",1276,0,1276,2015,8,"-8.6745115,41.1794456",1
2015-09-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",304,0,304,2015,9,"-8.6172617,41.1472498",1
2015-09-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",296,0,296,2015,9,"-7.7515252,41.3031784",1
2015-10-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",985,440,1425,2015,10,"-7.9032848,38.5684861",4
2015-10-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",66,38,104,2015,10,"-7.8721227,38.014123",4
2015-10-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",330,0,330,2015,10,"-8.6172617,41.1472498",1
2015-11-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",2145,1464,3609,2015,11,"-8.4098211,40.2191523",2
2015-12-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",2253,1530,3783,2015,12,"-8.4098211,40.2191523",2
2015-12-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",336,257,593,2015,12,"-8.0827433,40.516364",2
2015-12-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",2080,0,2080,2015,12,"-8.6745115,41.1794456",1
2016-01-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",24,13,37,2016,1,"-7.4922407,40.2804158",2
2016-01-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",38,0,38,2016,1,"-7.7515252,41.3031784",1
2016-02-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",13,5,18,2016,2,"-7.8721227,38.014123",4
2016-02-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",130,130,260,2016,2,"-7.4263845,39.3003425",4
2016-02-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",44,53,97,2016,2,"-8.0827433,40.516364",2
2016-02-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",85,0,85,2016,2,"-8.6172617,41.1472498",1
2016-03-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",426,31,457,2016,3,"-7.9281554,37.0238973",5
2016-03-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",139,164,303,2016,3,"-8.6543716,40.6362453",2
2016-04-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",571,49,620,2016,4,"-7.9281554,37.0238973",5
2016-04-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2016,4,"-8.8818638,38.5283754",3
2016-04-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1,0,1,2016,4,"-9.1634516,38.7396768",3
2016-05-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",14,9,23,2016,5,"-7.8721227,38.014123",4
2016-05-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",118,89,207,2016,5,"-8.0827433,40.516364",2
2016-06-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",264,321,585,2016,6,"-7.4263845,39.3003425",4
2016-06-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",141,104,245,2016,6,"-8.0827433,40.516364",2
2016-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2016,6,"-8.8818638,38.5283754",3
2016-06-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",948,0,948,2016,6,"-8.6745115,41.1794456",1
2016-07-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",350,319,669,2016,7,"-8.6543716,40.6362453",2
2016-07-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",1587,796,2383,2016,7,"-8.4098211,40.2191523",2
2016-07-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",106,72,178,2016,7,"-7.4981271,39.8212263",2
2016-07-01,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE",0,0,0,2016,7,"-8.4802503,41.3423984",1
2016-07-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",1112,0,1112,2016,7,"-8.6745115,41.1794456",1
2016-08-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",324,391,715,2016,8,"-7.4263845,39.3003425",4
2016-08-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",165,126,291,2016,8,"-8.0827433,40.516364",2
2016-08-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",280,0,280,2016,8,"-7.2734793,40.5309916",2
2016-08-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",107,72,179,2016,8,"-7.4981271,39.8212263",2
2016-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",28,0,28,2016,8,"-9.1822554,38.6658713",3
2016-08-01,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE",0,0,0,2016,8,"-8.4802503,41.3423984",1
2016-08-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",377,0,377,2016,8,"-7.7515252,41.3031784",1
2016-09-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",1260,96,1356,2016,9,"-7.9281554,37.0238973",5
2016-09-01,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,20,1,21,2016,9,"-8.7707806,40.297919",2
2016-09-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",437,11,448,2016,9,"-7.7515252,41.3031784",1
2016-10-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",21,17,38,2016,10,"-7.8721227,38.014123",4
2016-10-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",136,127,263,2016,10,"-7.4922407,40.2804158",2
2016-10-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",484,424,908,2016,10,"-8.6543716,40.6362453",2
2016-10-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",61,0,61,2016,10,"-8.8818638,38.5283754",3
2016-10-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",743,0,743,2016,10,"-8.6172617,41.1472498",1
2016-11-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",1514,117,1631,2016,11,"-7.9281554,37.0238973",5
2016-11-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",525,465,990,2016,11,"-8.6543716,40.6362453",2
2016-12-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",21,17,38,2016,12,"-7.8721227,38.014123",4
2016-12-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",540,490,1030,2016,12,"-8.6543716,40.6362453",2
2016-12-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",2619,1306,3925,2016,12,"-8.4098211,40.2191523",2
2016-12-01,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,26,1,27,2016,12,"-8.7707806,40.297919",2
2016-12-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",128,0,128,2016,12,"-9.1822554,38.6658713",3
2016-12-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",549,11,560,2016,12,"-7.7515252,41.3031784",1
2017-01-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",77,39,116,2017,1,"-7.9032848,38.5684861",4
2017-02-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",135,65,200,2017,2,"-7.9032848,38.5684861",4
2017-02-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",46,5,51,2017,2,"-7.4981271,39.8212263",2
2017-02-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",28,0,28,2017,2,"-9.1822554,38.6658713",3
2017-03-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",209,94,303,2017,3,"-7.9032848,38.5684861",4
2017-03-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",49,33,82,2017,3,"-7.4922407,40.2804158",2
2017-03-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",45,29,74,2017,3,"-8.0827433,40.516364",2
2017-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",3,0,3,2017,3,"-9.1371248,38.7166948",3
2017-03-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",347,0,347,2017,3,"-8.6172617,41.1472498",1
2017-03-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",123,0,123,2017,3,"-7.7515252,41.3031784",1
2017-04-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",0,0,0,2017,4,"-7.8721227,38.014123",4
2017-04-01,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,17,1,18,2017,4,"-8.7707806,40.297919",2
2017-04-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",58,0,58,2017,4,"-9.1822554,38.6658713",3
2017-05-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",362,129,491,2017,5,"-7.9032848,38.5684861",4
2017-05-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",990,521,1511,2017,5,"-8.4098211,40.2191523",2
2017-05-01,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,17,1,18,2017,5,"-8.7707806,40.297919",2
2017-05-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",149,0,149,2017,5,"-7.2734793,40.5309916",2
2017-06-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",0,0,0,2017,6,"-7.8721227,38.014123",4
2017-06-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",105,55,160,2017,6,"-7.4922407,40.2804158",2
2017-06-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",86,63,149,2017,6,"-8.0827433,40.516364",2
2017-06-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",747,0,747,2017,6,"-8.6172617,41.1472498",1
2017-07-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",502,179,681,2017,7,"-7.9032848,38.5684861",4
2017-07-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",10,8,18,2017,7,"-8.6956768,38.0162314",4
2017-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",10,9,19,2017,7,"-9.1371248,38.7166948",3
2017-07-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",1562,7828,9390,2017,7,"-8.6745115,41.1794456",1
2017-09-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",510,467,977,2017,9,"-7.4263845,39.3003425",4
2017-09-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",345,0,345,2017,9,"-7.2734793,40.5309916",2
2017-10-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",698,253,951,2017,10,"-7.9032848,38.5684861",4
2017-10-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",1896,867,2763,2017,10,"-8.4098211,40.2191523",2
2017-10-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",421,0,421,2017,10,"-7.2734793,40.5309916",2
2017-10-01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",3,0,3,2017,10,"-6.7888197,41.8056532",1
2017-11-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",21,20,41,2017,11,"-8.6956768,38.0162314",4
2017-11-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",479,0,479,2017,11,"-7.2734793,40.5309916",2
2017-11-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",2375,12239,14614,2017,11,"-8.6745115,41.1794456",1
2017-12-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",834,305,1139,2017,12,"-7.9032848,38.5684861",4
2017-12-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",652,636,1288,2017,12,"-7.4263845,39.3003425",4
2017-12-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",539,511,1050,2017,12,"-8.6543716,40.6362453",2
2017-12-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",527,1,528,2017,12,"-7.7515252,41.3031784",1
2017-12-01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",3,0,3,2017,12,"-6.7888197,41.8056532",1
2018-01-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",0,0,0,2018,1,"-7.2734793,40.5309916",2
